epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,312.955,3.09582,5.85282,5.50496,3.85089,0,0.30788,0.02744,0.01047,0.00394,0.3115,0.02983,0.01136,0.00508,2.48443,3.89868,3.7041,3.05713,0,0.00998665,0.00332888,0.00998665,0.00332888,0.00998665,0.00332888,0.00998665,0.00332888
2,578.586,2.12886,3.42351,3.76475,2.44238,0,0.44192,0.09906,0.05193,0.02776,0.44444,0.09734,0.05191,0.02785,1.83561,3.26846,3.24785,2.03637,0,0.0198547,0.00661825,0.0198547,0.00661825,0.0198547,0.00661825,0.0198547,0.00661825
3,861.387,1.73203,3.04417,3.06114,1.83636,0,0.37826,0.15104,0.08519,0.05268,0.37281,0.14929,0.08268,0.04997,1.62416,3.04181,2.82519,1.71485,0,0.0295908,0.00986361,0.0295908,0.00986361,0.0295908,0.00986361,0.0295908,0.00986361
4,1113.65,1.55051,2.76973,2.70794,1.59895,0,0.49794,0.14108,0.12767,0.0819,0.49629,0.13835,0.12045,0.07515,1.47176,2.72129,2.54835,1.5122,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1759.58,1.44073,2.60251,2.48412,1.47275,0,0.3289,0.22834,0.13912,0.0919,0.32332,0.21697,0.13252,0.08446,1.39733,2.57719,2.4231,1.44136,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2008.88,1.3667,2.49189,2.34296,1.40167,0,0.41998,0.20275,0.16612,0.11595,0.42513,0.19497,0.15623,0.10383,1.32418,2.49942,2.31616,1.3673,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2259.13,1.3212,2.40262,2.23257,1.34768,0,0.42552,0.22495,0.19372,0.14182,0.41594,0.21605,0.18694,0.12528,1.25301,2.39601,2.13543,1.31109,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2508.29,1.27326,2.32224,2.13073,1.30382,0,0.4546,0.23633,0.2043,0.14624,0.44146,0.22445,0.19082,0.129,1.26711,2.36252,2.10214,1.30743,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2758.02,1.24835,2.2639,2.04969,1.2791,0,0.35096,0.26575,0.23055,0.16406,0.33196,0.2517,0.21408,0.14562,1.20986,2.26255,1.98862,1.25747,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3007.61,1.21128,2.19154,1.96027,1.24624,0,0.44022,0.26484,0.25388,0.18104,0.42641,0.24869,0.23891,0.15676,1.17713,2.20798,1.92701,1.24248,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3258.66,1.17764,2.12073,1.87273,1.21893,0,0.39065,0.3012,0.27235,0.19914,0.37889,0.28761,0.25611,0.17274,1.15166,2.16737,1.85954,1.21214,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3507.02,1.16312,2.08943,1.81132,1.20416,0,0.45942,0.29636,0.28188,0.20286,0.43802,0.28891,0.26617,0.17891,1.1542,2.10982,1.83302,1.201,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3758.11,1.15129,2.05837,1.7581,1.18569,0,0.48136,0.31549,0.3022,0.2243,0.45965,0.30123,0.27921,0.1966,1.10486,2.0616,1.73748,1.17755,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4009.62,1.12384,2.00448,1.67832,1.16423,0,0.48595,0.34816,0.33657,0.24511,0.45765,0.33068,0.31098,0.2152,1.08919,2.02499,1.64393,1.15956,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
