epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.319,1.0792,2.29418,2.93375,1.10065,0.41186,0.23492,0.17961,0.134,0.40676,0.22901,0.17294,0.11986,1.00051,2.1558,1.96385,1.03413,0.00332646,0.00332646,0.00332646
2,535.222,1.04634,2.06898,1.90037,1.05254,0.3263,0.21959,0.167,0.11817,0.326,0.21571,0.16359,0.10803,1.18261,2.47064,2.15505,1.14359,0.00659386,0.00659386,0.00659386
3,799.984,1.19311,2.31822,2.0317,1.12154,0.32635,0.19139,0.14199,0.09179,0.32501,0.18857,0.13616,0.08567,1.31352,2.66117,2.25302,1.20632,0.00979526,0.00979526,0.00979526
4,1059.03,1.24941,2.39049,2.07369,1.14888,0.48834,0.19937,0.17507,0.11868,0.49038,0.19871,0.1707,0.10497,1.23931,2.4766,2.18511,1.14823,0.009703,0.009703,0.009703
5,1320.58,1.20479,2.30409,1.96432,1.13558,0.3818,0.21668,0.17884,0.12431,0.52575,0.17248,0.17524,0.11769,1.21309,2.43818,2.03191,1.15731,0.009604,0.009604,0.009604
6,1578.96,1.17423,2.22722,1.88833,1.1163,0.46515,0.2287,0.19563,0.14225,0.47402,0.22472,0.18913,0.13059,1.19169,2.3497,1.9707,1.1341,0.009505,0.009505,0.009505
7,1836.64,1.13579,2.13927,1.79101,1.09364,0.36192,0.29574,0.22814,0.16815,0.35483,0.28827,0.21828,0.15337,1.11968,2.19549,1.86216,1.09109,0.009406,0.009406,0.009406
8,2100.6,1.1147,2.08804,1.72046,1.0767,0.38159,0.26954,0.22083,0.16201,0.37215,0.25848,0.21231,0.14819,1.11346,2.24835,1.86891,1.08786,0.009307,0.009307,0.009307
9,2366.92,1.08869,2.04472,1.65568,1.07136,0.29678,0.29056,0.25915,0.19166,0.29404,0.28042,0.24703,0.17429,1.07179,2.10075,1.67299,1.06537,0.009208,0.009208,0.009208
10,2632.47,1.0703,1.9949,1.60612,1.06124,0.40267,0.31578,0.2658,0.19765,0.40152,0.29394,0.25337,0.17963,1.04604,2.03426,1.67412,1.06042,0.009109,0.009109,0.009109
11,2894.11,1.04777,1.95251,1.53964,1.04678,0.4013,0.32078,0.28292,0.21036,0.37958,0.30806,0.26724,0.18632,1.04748,2.03123,1.63923,1.0564,0.00901,0.00901,0.00901
